Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",La coca de Pablo López.,boton de cuero,0.4114,0.04,0.0,4.33,95.63,0.0
2,"2,4",no paraba de llegar.,llorar como una perra,0.3410,0.04,0.0,3.41,96.55,0.0
3,"4,6",Pasó mucho tiempo para que Miami se convirtiera en un parque.,Lo que sea pero aléjate,0.4899,0.01,0.0,1.09,98.91,0.0
4,"6,8","a la vista, y lo digo en serio.",Lo que sea pero aléjate,0.3539,0.63,0.0,42.88,56.48,0.0
5,"8,10",Era como si toda la ciudad fuera tuya.,Eres quien está mal aquí,0.4319,0.04,0.0,0.79,99.17,0.0
6,"10,12",de un lado a otro para conseguir esta mierda.,te vas a la mierda,0.2988,0.01,0.0,2.33,97.66,0.0
7,"12,14",,,,5.97,0.62,43.22,38.44,11.74
8,"14,16",con el libero.,te voy a sacar al concha de tu madre,0.3888,0.73,0.01,35.28,63.95,0.03
9,"16,18",Vino la violenza.,violencia,0.3489,0.02,0.0,4.43,95.54,0.0
10,"18,20",,,,0.1,0.0,48.17,51.73,0.0
11,"20,22",Los hippies fueron reemplazados por colombianos,Eres quien está mal aquí,0.4751,0.0,0.0,0.14,99.86,0.0
12,"22,24",mundiales y estos no llevan,maten a los blancos,0.3670,0.08,0.0,6.22,93.7,0.0
13,"24,26","Come on, Tank Class.",trolo,0.7269,0.35,0.43,93.94,5.24,0.04
14,"26,28",THANKS FOR WATCHING!,No quiero problemas,0.7988,0.55,0.78,85.33,13.26,0.09
15,"28,30",,,,0.71,1.82,93.31,4.04,0.12
16,"30,32",,,,0.08,0.09,99.11,0.72,0.0
17,"32,34",♪♪,gay,0.6851,0.01,0.0,99.32,0.67,0.0
18,"34,36",Thanks for watching!,No quiero problemas,0.7988,0.22,0.0,38.21,61.56,0.0
19,"36,38",Thank you for watching.,Tengo miedo,0.7773,0.15,0.0,6.1,93.75,0.0
20,"38,40",Thank you for watching.,Tengo miedo,0.7773,0.13,0.0,34.9,64.97,0.0
21,"40,42",Thank you for watching.,Tengo miedo,0.7773,0.71,0.0,92.71,6.57,0.02
