Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",টাকাটা দেয় থোড বানো,basura,0.5931,13.14,0.1,33.8,50.0,2.96
2,"2,4",Romanda.,mierda,0.4192,0.12,0.02,99.48,0.38,0.01
3,"4,6",Pro-mom,prostituta,0.6102,0.01,0.0,99.98,0.0,0.0
4,"6,8",Take off.,puto,0.7085,0.88,0.01,98.66,0.44,0.02
5,"8,10",Come on.,puto,0.7573,0.26,0.03,99.67,0.04,0.01
6,"10,12",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.06,0.01,98.31,1.63,0.0
7,"12,14","From on down, take a",ayuda,0.7491,0.0,0.0,0.59,99.41,0.0
8,"14,16","Ah, demuestra que el chico...",No quiero pelear,0.3745,0.93,0.08,88.79,9.99,0.22
9,"16,18",está bien y le diré a mi equipo que te paguen.,Eres quien está mal aquí,0.3446,0.01,0.0,0.45,99.54,0.0
10,"18,20",Thank you.,asno,0.7752,11.06,0.37,79.8,8.1,0.66
11,"20,22","Thank you, thank you, thank you.",No quiero problemas,0.7601,6.63,0.23,82.15,10.75,0.24
12,"22,24",Ik denk het zit erin.,eres gay,0.5954,12.17,0.35,32.89,53.87,0.72
13,"24,26",맛있게 잘 먹었습니다.,te voy a joder,0.7176,0.17,0.09,99.5,0.23,0.01
14,"26,28",Thank you for watching my video.,No quiero problemas,0.8126,0.21,0.01,97.1,2.68,0.0
15,"28,30",Hi! Hi! Hi! Hi! Hi! ,hijo de la perra,0.6537,13.38,5.08,41.21,2.27,38.06
16,"30,32",Thanks for watching!,No quiero problemas,0.7988,0.52,3.23,84.36,0.14,11.76
17,"32,34",Sigh,aweonao,0.7246,2.53,1.07,91.59,2.77,2.04
18,"34,36",Das war's für heute und wir sehen uns beim nächsten Mal.,nazi,0.7411,0.21,0.1,99.67,0.01,0.01
19,"36,38",que aparecen ser profesionales ocupados.,Eres quien está mal aquí,0.4664,0.38,0.0,3.84,95.79,0.0
20,"38,40","basta de estupideces y vayamos al grano, ¿sí?",Hablaremos después ¿sí?,0.3566,4.36,0.0,6.99,88.65,0.0
21,"40,42",Thank you.,asno,0.7752,0.0,0.0,99.99,0.0,0.0
22,"42,44",見てくれてありがとう:),eres una basura,0.7577,0.03,0.0,98.91,1.05,0.0
23,"44,46",Okay.,gay,0.7426,0.54,0.1,98.69,0.55,0.12
24,"46,48",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.1,0.01,96.75,3.14,0.0
25,"48,50",ご覧いただきありがとうございます。良い一日を!,eres una basura,0.7526,0.27,0.11,98.96,0.63,0.02
26,"50,52",,,,2.67,0.1,83.48,13.61,0.14
27,"52,54",,,,0.0,0.86,99.13,0.0,0.0
28,"54,56",고맙습니다.,Tengo miedo,0.7222,0.03,0.0,99.76,0.2,0.0
29,"56,58",Oh,orto,0.7404,10.99,7.56,80.26,0.01,1.17
30,"58,60",,,,68.24,1.33,17.12,4.37,8.94
31,"60,62",不合适,quemero,0.6920,98.75,0.08,0.52,0.44,0.21
32,"62,64",Puta que pariu!,eres una puta,0.2801,92.68,0.02,0.63,6.45,0.22
33,"64,66","Oye hombre, ¿estás loco o qué?",¿Por qué me haces esto?,0.3384,55.42,0.0,1.54,42.99,0.05
34,"66,68",Tiene el cargador.,No quiero morir,0.4027,22.77,0.17,72.94,3.82,0.3
35,"68,70",Boom!,aweonao,0.6845,17.14,2.47,78.46,1.42,0.51
36,"70,72",Mmm. Mmm. Mmm.,mamon,0.6510,65.24,0.2,29.82,4.49,0.24
37,"72,74",끝,gay,0.6851,0.77,0.11,98.67,0.42,0.03
38,"74,76",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,0.44,0.02,93.36,6.16,0.02
39,"76,78",Ya no hay que hablar.,Hablaremos después ¿sí?,0.2948,17.7,0.33,62.88,16.73,2.36
40,"78,80",Algo que no sé.,Lo que sea pero aléjate,0.3093,0.17,0.13,99.7,0.0,0.0
41,"80,82",Eso es todo lo que nos interesa.,Esto no puede estar pasando,0.3549,9.83,1.21,68.23,16.43,4.3
42,"82,84",Thank you for watching!,No quiero problemas,0.7926,3.77,0.17,94.94,1.07,0.06
43,"84,86",,,,0.02,0.02,99.94,0.03,0.0
44,"86,88",by bwd6,drogo,0.7429,21.09,1.04,72.32,4.93,0.61
45,"88,90",¿verdad? por eso ,¿Por qué me haces esto?,0.2714,7.08,0.12,89.39,3.31,0.11
