Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",Oh,orto,0.7404,0.19,0.0,0.31,99.51,0.0
2,"2,4",armados. El anfitrión de edad mediana se levanta.,Eres quien está mal aquí,0.4072,0.0,0.0,0.05,99.95,0.0
3,"4,6",y dice que lo trae por aquí.,Eres quien está mal aquí,0.2679,0.71,0.0,3.04,96.22,0.03
4,"6,8",And see your faces at the surface.,No me toques,0.8230,0.13,0.0,2.34,97.52,0.0
5,"8,10",That jelly looks fun.,jodete,0.7648,1.35,0.04,22.72,75.81,0.08
6,"10,12",,,,3.27,0.16,71.51,24.84,0.23
7,"12,14",Cu caracea te-am iesit.,cajeta,0.5069,1.96,0.04,53.63,44.35,0.03
8,"14,16",que las esmeraldas hubieran endurecido de más.,Eres quien está mal aquí,0.4215,0.03,0.0,0.82,99.15,0.0
9,"16,18",è dimassiado a gaccia.,agueonao,0.5104,1.04,0.0,2.58,96.37,0.02
10,"18,20",Así que se decidió por sí mismo.,quemero,0.3619,0.03,0.0,0.32,99.64,0.0
11,"20,22",su tercera opción un hombre,Solo quiero que esto termine,0.3503,0.04,0.0,0.29,99.67,0.0
